Fecha,Total_Raw,Total_Consistent,Via_Aerea,Via_Terrestre,Via_Maritima,Pais_El Salvador,Pais_Guatemala,Pais_Estados Unidos de América
2018-02-01,287123.42668800015,251666.99157049917,96337.0,174295.42668800018,16491.0,79855.45068800011,97064.97600000011,31251.0
2018-03-01,435063.99999999884,393020.78296043223,124266.0,293193.99999999884,17604.0,142606.99999999866,154165.00000000015,46729.0
2018-04-01,390488.66023500025,308239.861353772,104951.0,266163.66023500025,19374.000000000004,134110.20890000009,136188.55573500015,30017.0
2018-05-01,303919.7562999992,277750.0821155593,103815.00000000001,191168.7562999992,8936.0,88124.55399999923,117160.27039999995,30776.000000000004
2018-06-01,344009.84579301835,311280.3505085109,120718.00000000067,221271.8457930177,2020.0,95603.51250001922,139123.34949299492,50738.99999999694
2018-07-01,359320.84170000005,337300.58994755434,134933.0,224387.84170000005,,102110.00000000016,129712.20609499297,53705.99999999999
2018-08-01,378651.77360000083,352316.5717399916,110568.00000000073,267340.77360000013,743.0,127364.00000000006,138817.000000001,35057.999999999745
2018-09-01,288075.091731506,272777.06846753834,94931.29173150647,190994.79999999952,2149.0,79449.10168539287,124992.25397727192,22278.86899191812
2018-10-01,314775.24679066514,282172.2126978078,115003.99628460119,184907.25050606398,14864.000000000002,77101.54875716913,126015.00407599972,29262.57159998979
2018-11-01,346802.54537830804,309687.6366610493,135409.36194730835,193633.1834309997,17760.0,83397.20199744927,136864.60714200098,35031.71926839621
2018-12-01,451183.5759149496,393729.4913142119,156607.3959668107,273631.1799481389,20945.000000000004,104544.35558766701,185070.66548252347,49575.73960998194
2019-01-01,409070.1841228372,357645.7498163418,126566.13349998859,258991.05062284865,23513.0,102985.0,158731.0,35047.0
2019-02-01,322067.5757750438,285350.9076318986,106574.12156398408,201808.45421105972,13685.0,84376.0,122687.0,33992.0
2019-03-01,399233.16485603753,359757.9903426129,118895.93695089713,259346.22790514043,20991.000000000004,123670.0,135906.0,44551.0
2019-04-01,438126.02571626974,388538.5481624975,125309.99999999897,295423.0257162708,17393.0,137113.0,164044.99999999919,37232.99999999987
2019-05-01,322838.7189971024,299297.3401131451,109523.99999999949,211322.71899710293,1992.0,97409.0,124257.99999999924,33982.00000000025
2019-06-01,360723.62495207327,333161.55536598404,127604.99999999904,233118.62495207423,,96354.0,150470.99999999884,52871.00000000017
2019-07-01,424549.22910102265,365333.6909719392,138562.64109759167,284020.588003431,1966.0,107991.0,156051.0,54990.0
2019-08-01,435156.2167264152,365512.75428666285,115044.99999999999,320111.2167264152,,165263.0,149648.9999999998,36383.00000000021
2019-09-01,326378.553693717,298250.07724295655,101240.07692307641,223844.47677064058,1294.0,89768.0,147026.99999999942,23190.00000000007
2019-10-01,333222.5816606803,294503.99136425246,119128.99999999866,197089.58166068167,17004.0,85655.0,129828.99999999869,29738.00000000001
2019-11-01,404633.8788819898,335783.9260785361,137092.00000000224,243942.87888198756,23599.0,119801.00000000001,145411.00000000244,34386.99999999978
2019-12-01,515820.44595176575,449114.07050016744,157842.00000000003,348626.4459517657,9352.0,160692.0,207097.0000000001,48382.99999999991
2020-01-01,465740.1746839287,388222.6026616116,130697.00219828535,316015.17248564336,19028.0,146886.0,173175.0,38743.0
2020-02-01,389261.6257059582,317917.9765175921,112885.99999999996,259956.6257059583,16419.0,124678.0,135558.0,38107.0
2020-03-01,176870.29003846797,155415.5760920644,54830.992130115425,115494.29790835253,6545.0,44917.0,71496.0,17969.0
2020-04-01,10039.0,10039.0,489.0,9550.0,,,10039.0,
2020-05-01,9779.0,9779.0,610.0,9169.0,,,9779.0,
2020-06-01,11817.0,11817.0,1418.0,10399.0,,,11817.0,
2020-07-01,13484.0,13484.0,1047.0,12437.0,,,13484.0,
2020-08-01,15357.0,15357.0,1259.0,14098.0,,,15357.0,
2020-09-01,25389.528915275994,12572.49268292683,5606.0,19783.528915275994,,7254.0,13800.0,1134.0
2020-10-01,30538.524452566482,16680.784348955127,9474.702618453864,21063.82183411262,,8576.920058910006,14454.500000000007,2890.563772446
2020-11-01,58632.0,52865.0,38994.0,19638.0,,11528.0,23765.0,11267.0
2020-12-01,59432.0,55620.0,53717.0,5715.0,,573.0,40254.0,12291.0
2021-01-01,104620.0,89960.0,43648.0,60972.0,,17086.0,52694.0,12140.0
2021-02-01,65463.0,52605.0,28784.0,36679.0,,14657.0,36690.0,6427.0
2021-03-01,105145.0549412881,85017.39633341735,60160.41466618583,44984.64027510227,,20788.0,40699.0,22824.0
2021-04-01,82067.86966045789,59743.1902214643,34541.691431401676,47526.178229056204,,18194.0,32694.0,15805.0
2021-05-01,79974.0,73873.0,59518.0,20456.0,,12704.0,35632.0,17568.0
2021-06-01,106436.0,95146.0,75987.0,30449.0,,16216.0,42766.0,26751.0
2021-07-01,108345.66433359256,97594.66433359256,71180.0,37165.66433359256,,18267.0,41447.0,24815.0
2021-08-01,83251.0,72327.0,55680.0,27571.0,,15688.0,33613.0,15851.0
2021-09-01,74913.99999999997,67022.99999999997,46047.99999999996,28866.0,,16447.0,29693.0,11086.0
2021-10-01,93745.0,83528.0,53420.0,40325.0,,19399.0,33960.0,14356.0
